="2014.04.01","2.71%",
="2014.04.02","2.79%",
="2014.04.03","2.82%",
="2014.04.04","2.82%",
="2014.04.05","2.95%",
="2014.04.06","2.96%",
="2014.04.07","2.86%",
="2014.04.08","2.65%",
="2014.04.09","2.74%",
="2014.04.10","2.72%",
="2014.04.11","2.69%",
="2014.04.12","2.79%",
="2014.04.13","2.91%",
="2014.04.14","2.74%",
="2014.04.15","2.72%",
="2014.04.16","2.74%",
="2014.04.17","2.59%",
="2014.04.18","2.53%",
="2014.04.19","2.64%",
="2014.04.20","2.77%",
="2014.04.21","2.59%",
="2014.04.22","2.56%",
="2014.04.23","2.64%",
="2014.04.24","2.61%",
="2014.04.25","2.60%",
="2014.04.26","2.63%",
="2014.04.27","2.68%",
="2014.04.28","2.51%",
="2014.04.29","2.48%",
="2014.04.30","2.47%",
="2014.05.01","2.70%",
="2014.05.02","2.73%",
="2014.05.03","2.70%",
="2014.05.04","2.52%",
="2014.05.05","2.57%",
="2014.05.06","2.58%",
="2014.05.07","2.60%",
="2014.05.08","2.57%",
="2014.05.09","2.49%",
="2014.05.10","2.61%",
="2014.05.11","2.69%",
="2014.05.12","2.51%",
="2014.05.13","2.51%",
="2014.05.14","2.49%",
="2014.05.15","2.45%",
="2014.05.16","2.41%",
="2014.05.17","2.51%",
="2014.05.18","2.72%",
="2014.05.19","2.55%",
="2014.05.20","2.39%",
="2014.05.21","2.38%",
="2014.05.22","2.36%",
="2014.05.23","2.37%",
="2014.05.24","2.49%",
="2014.05.25","2.55%",
="2014.05.26","2.35%",
="2014.05.27","2.34%",
="2014.05.28","2.39%",
="2014.05.29","2.37%",
="2014.05.30","2.30%",
="2014.05.31","2.45%",
="2014.06.01","2.45%",
="2014.06.02","2.58%",
="2014.06.03","2.39%",
="2014.06.04","2.46%",
="2014.06.05","2.42%",
="2014.06.06","2.48%",
="2014.06.07","2.62%",
="2014.06.08","2.68%",
="2014.06.09","2.48%",
="2014.06.10","2.46%",
="2014.06.11","2.48%",
="2014.06.12","2.44%",
="2014.06.13","2.42%",
="2014.06.14","2.53%",
="2014.06.15","2.58%",
="2014.06.16","2.37%",
="2014.06.17","2.29%",
="2014.06.18","2.23%",
="2014.06.19","2.41%",
="2014.06.20","2.45%",
="2014.06.21","2.44%",
="2014.06.22","2.51%",
="2014.06.23","2.17%",
="2014.06.24","2.04%",
="2014.06.25","2.04%",
="2014.06.26","2.03%",
="2014.06.27","1.98%",
="2014.06.28","2.14%",
="2014.06.29","2.20%",
="2014.06.30","2.01%",
